納品データ,member_ id,種別,ニックネーム,スレッドURL,スレッドタイトル,スレッド本文,ルーム,テンション,タグ1,タグ2,タグ3,タグ4,タグ5,投稿日時
0417-0423,,,トト,,GLORY HILLがフルアルバム出す！,"GOOD LOSER！主題歌系の収録も多いけどなんにせよ
久々のフルアルバムはテンション上がるね",GLORY HILL,ゆるーくおしゃべり,歌手,,,,,2014/4/29 10:08
0417-0423,,,トト,,go!go!vanillasがetting Betterに！,"DJメインのイベントかと思ったけどライブ出演で
バニラズ出演するらしい！18歳の人優遇有？",go!go!vanillas,ゆるーくおしゃべり,歌手,,,,,2014/4/29 6:45
0417-0423,,,トト,,Graham Central Stationの好きなクロスオーバーは？,"ファンクバンドの伝説、スラップ奏法の金字塔ですけど、
結構色んなジャンルとクロスオーバーしましたよね。
どのジャンルが好きですか？",Graham Central Station,ゆるーくおしゃべり,歌手,,,,,2014/4/29 12:38
0417-0423,,,トト,,GRAPEVINEがLifetime再現！,"5月からのツアーはLifetimeの再現らしいですねー。
再現ってことは1時間ちょっとで終わっちゃう？",GRAPEVINE,ゆるーくおしゃべり,歌手,,,,,2014/4/29 16:37
0417-0423,,,トト,,Gucci Maneとリックロス,"Trap House IIIの1曲目からリックロスとの曲ですけどメイン曲だけ
あって超カッコいい！このアルバムいいね！",Gucci Mane,ゆるーくおしゃべり,歌手,,,,,2014/4/28 16:58
0417-0423,,,トト,,GENTLEMANS PISTOLSのツインギター,"こいつらほどキレのいいツインギターを知らないですよ。
セカンドアルバムもよかったけどやっぱライブ見たいですね",GENTLEMANS PISTOLS,ゆるーくおしゃべり,歌手,,,,,2014/4/28 2:42
0417-0423,,,トト,,GLITTERのゆみーる,"愛されてますよねｗツイッターで話題になるってほんと
宣伝方法とか変わってきてるんですねぇ",GLITTER,ゆるーくおしゃべり,歌手,,,,,2014/4/29 20:57
0417-0423,,,トト,,GYPTIANのアルバムのタイトルって,"めっちゃわかりやすいですよね。
ストレートというか、名前だけでコンセプトが伝わってくるってなかなかない。",GYPTIAN,ゆるーくおしゃべり,歌手,,,,,2014/4/28 1:06
0417-0423,,,トト,,HIBIKILLAのリミックス面白すぎる,"久々に声出して笑った、なんだこれ。
PSYのリミックスなんだけどコレマジで本人なのか？面白すぎる。",HIBIKILLA,ゆるーくおしゃべり,歌手,,,,,2014/4/29 16:38
0417-0423,,,トト,,HOKTソロでもかなりいいね,"NORTH COAST BAD BOYZのイメージしかなかったけど
ソロでも結構いいね！アルバム聞いてびっくりした。",HOKT,ゆるーくおしゃべり,歌手,,,,,2014/4/28 10:18
0417-0423,,,トト,,HYENA活動休止してる？,"公式もブログも音沙汰ないけど活動してるのかな？
再販去年してから新曲もないですよね",HYENA,ゆるーくおしゃべり,歌手,,,,,2014/4/28 22:50
0417-0423,,,トト,,Ice Tのソロとバンド,"ジャンル凄い違うけどどっちもいいですよね。
過激だけど、みなさんどっちが好き？",Ice T,ゆるーくおしゃべり,歌手,,,,,2014/4/28 21:33
0417-0423,,,トト,,illionカッコいいよね！,"ラッドの野田さんと事変の亀田さんの時点で大好きなんですけどね。
世界的にはどうだったんでしょうね。",illion,ゆるーくおしゃべり,歌手,,,,,2014/4/28 17:37
0417-0423,,,トト,,indigo la Endって独特ですよね,"セカオワとかちょっと特殊な世界観のバンドも
広く浸透してきましたね！インディゴももっと流行れ！",indigo la End,ゆるーくおしゃべり,歌手,,,,,2014/4/27 19:29
0417-0423,,,トト,,Iyazの次の曲どうなるかな,"リプレイがめちゃ売れたからプレッシャーありそうですよね。
次はどんな感じの曲になるのかな",Iyaz,ゆるーくおしゃべり,歌手,,,,,2014/4/29 3:52
0417-0423,,,トト,,J. COLE一気に伸びたよね,"下積み長かったけど一気にここ二、三年で一気に
売れましたよね。ボーンシナー良かったしなぁ。",J. COLE,ゆるーくおしゃべり,歌手,,,,,2014/4/29 6:49
0417-0423,,,トト,,Ja Rule出所してから曲出した？,"去年出てきてからなんか曲出したのかな？
日本であんまり宣伝見ないからどうなんだろう？",Ja Rule,ゆるーくおしゃべり,歌手,,,,,2014/4/29 17:20
0417-0423,,,トト,,Jackson Sistersってマイケル,"マイケルのグループの一派かと思ってた。
今更だけど違ったんですね、曲は有名だから知ってたんだけど。
みんな知ってた？",Jackson Sisters,ゆるーくおしゃべり,歌手,,,,,2014/4/28 11:34
0417-0423,,,トト,,Jadakissと50Cent,"ディスの対象同士でしたけど、和解したんでしょうか？
ギャラ問題でしたっけ、どう思いました？",Jadakiss,ゆるーくおしゃべり,歌手,,,,,2014/4/30 0:53
0417-0423,,,トト,,Jaheimいい声してますよね！,"R&Bはやっぱりアメリカ強いですよね。
The Makings of a Manとかずっと聴いていける。",Jaheim,ゆるーくおしゃべり,歌手,,,,,2014/4/28 21:51
0417-0423,,,トト,,Icona Popってなんか中毒性あるよね,"メロディーが突飛なわけでもループなわけでもないんだけど
なんか聞いちゃいますよね。これから楽しみなユニット！",Icona Pop,ゆるーくおしゃべり,歌手,,,,,2014/4/30 8:52
0417-0423,,,トト,,I ROYのTwo Big Sounds,"色んなことがあった時代なので忘れられがちですが、めちゃ
いいレコードですよね！",I ROY,ゆるーくおしゃべり,歌手,,,,,2014/4/29 9:24
0417-0423,,,トト,,Jay Seanの曲日本で売ってる？,"HOMEとか日本で売ってなくない？
どこか購入できる場所とか持ってる人います？",Jay Sean,ゆるーくおしゃべり,歌手,,,,,2014/4/29 22:45
0417-0423,,,トト,,Jazmine Sullivanの Good Enough ,"アルバム買ってきたんですけどここまで衰えずに
昇華してくるってすごいですね、特に Good Enoughいい！",Jazmine Sullivan,ゆるーくおしゃべり,歌手,,,,,2014/4/28 4:34
0417-0423,,,トト,,Jermaine Dupriとマライア,"凄い組み合わせですよね。ジャネットもよかったと思うけど
失敗視されたし、復活してくれてよかった！",Jermaine Dupri,ゆるーくおしゃべり,歌手,,,,,2014/4/30 3:26
0417-0423,,,トト,,JING TENGってなんで脱退したんだろうね,"マイクラで安定してたと思うんだけどなぁ。
喧嘩別れではないって言ってたけど、どうなのかな。",JING TENG,ゆるーくおしゃべり,歌手,,,,,2014/4/27 17:27
0417-0423,,,トト,,John Legendとカニエ,"最強タッグですよね！去年のアルバムもよかったし。
もう一枚くらい一緒にやってほしい",John Legend,ゆるーくおしゃべり,歌手,,,,,2014/4/29 7:58
0417-0423,,,トト,,Johnta Austinの提供曲が凄い,"NE-YOもそうだったけどなんでいい曲書く人は自分で歌わないんだろう。
セルフカバーアルバム出すだけでゴールド取れそう",Johnta Austin,ゆるーくおしゃべり,歌手,,,,,2014/4/29 3:04
0417-0423,,,トト,,JOYSTICKKブログ忘れてないか？,"アルバム出しても告知してなくないかアメブロで。
CINEMASがこんなに早く出てるとか知らなかった。",JOYSTICKK,ゆるーくおしゃべり,歌手,,,,,2014/4/28 19:29
0417-0423,,,トト,,J-REXXXの新作いいね！,"M.U.S.I.C、ザ、ジャパレゲって感じでいいですね！
なんか音の幅が広くなった感じしません？",J-REXXX,ゆるーくおしゃべり,歌手,,,,,2014/4/29 21:05
0417-0423,,,トト,,JUMBO MAATCHのソロって,"やっぱみんなマイクラの方が好きなのかな？
サイハテチルとか結構いい曲ソロでもおおいんだけど聴いてる人いる？",JUMBO MAATCH,ゆるーくおしゃべり,歌手,,,,,2014/4/27 17:03
0417-0423,,,トト,,JAGWAR MAでサイケ熱がまた,"ぼうにんげんといいジャグといい最近サイケ熱いな！
テンプルズもいいけどジャグもいい！",JAGWAR MA,ゆるーくおしゃべり,歌手,,,,,2014/4/30 3:48
0417-0423,,,トト,,JULIO BASHMOREのコラボ,"Peppermint ft.Jessie Ware超カッコいいね。
オフィシャルで音源挙げてるから聴いてない人チャンネル見たほうがいい！",JULIO BASHMORE,ゆるーくおしゃべり,歌手,,,,,2014/4/28 16:08
0417-0423,,,トト,,カントリーならJustin Moore,"まだ若いけど、いい声とセンス光ってますよね。
Off the Beaten Pathも日本版出せばいいのに",Justin Moore,ゆるーくおしゃべり,歌手,,,,,2014/4/29 14:11
0417-0423,,,トト,,Karl Wolf新曲書いてくれ。,"Finally Free良かったけど、良かったけど前半前のアルバムと
被ってるんだよ・・・。新曲聴きたいですね",Karl Wolf,ゆるーくおしゃべり,歌手,,,,,2014/4/28 10:50
0417-0423,,,トト,,Kaskade、疾走感のあるエレクトロ,"疾走感ならエモかなーって思ってたけど、Atmosphere聞いたら
エレクトロもアリだなって思いだした。
前作と違うって聞いたけどAtmosphereいいよね！",Kaskade,ゆるーくおしゃべり,歌手,,,,,2014/4/28 2:44
0417-0423,,,トト,,Kat Delunaのソウルってのりやすい,"Inside Outしか持ってないけど、この人の曲ってこんな感じのが多いのかな？
乗り良いですよね！",Kat Deluna,ゆるーくおしゃべり,歌手,,,,,2014/4/28 2:15
0417-0423,,,トト,,K-Ci ＆ JoJoの11年ぶりの,"戦線復帰おめでとう！ちょっと遅れたけど。
My Brother's Keeper最近買いました。メロウでいい曲おおい！
でもちょっと枯れた？",K-Ci ＆ JoJo,ゆるーくおしゃべり,歌手,R&B,,,,2014/4/30 3:04
0417-0423,,,トト,,Kobra And The Lotusのハイトーンヴォイス！,"かっこいい！KISSの立ち上げた事務所つながりで知ったけど
こんな奴らが居たの知らなかった。
",Kobra And The Lotus,ゆるーくおしゃべり,歌手,,,,,2014/4/29 19:25
0417-0423,,,トト,,KOZ (S.T.M)のTHE ONE WAY聞いたんだけど,"声のキー下げて歌ってないかこれ？
聴いてるうちになれたけど、みんなSTMの時の高音とどっちが好き？",KOZ (S.T.M),ゆるーくおしゃべり,歌手,,,,,2014/4/30 4:55
0417-0423,,,トト,,Krewellaとふなっしー！？,"Get Wetようやく買ってきた！期待以上の曲ばっかで最高！
ってかふなっしーDJやれたのか！？",Krewella,ゆるーくおしゃべり,歌手,,,,,2014/4/28 17:47
0417-0423,,,トト,,KAYってコラボしてる方がいい？,"ソロでもCD出してるけどみんなどっちが好き？
って言っても半分くらいはコラボ曲だったけど。",KAY,ゆるーくおしゃべり,歌手,,,,,2014/4/28 19:33
0417-0423,,,トト,,KENTY GROSSのTHE GROSSやばい,"想像以上に内容過激だったｗ
何というか、曲がどうとかを超えてCDが面白い。
なんでなん?!とかみんなで聴きたいですね",KENTY GROSS,ゆるーくおしゃべり,歌手,,,,,2014/4/27 21:23
0417-0423,,,トト,,Kevin Lyttleそろそろアルバムを・・・,"ターンミーオンめっちゃ売れたけどそろそろ新曲聴きたいですね。
もう曲出してくれないのかな？",Kevin Lyttle,ゆるーくおしゃべり,歌手,レゲエ,,,,2014/4/29 16:36
0417-0423,,,トト,,Lamont Dozierって多才すぎるでしょ,"作曲家として大成功、ソロで歌って大成功。
レコード会社も持ってるってほんと凄い。
ソロの時の曲ならみんな何が好み？",Lamont Dozier,ゆるーくおしゃべり,歌手,,,,,2014/4/30 6:36
0417-0423,,,トト,,Laura Iziborのデビューアルバム,"これ以上のアルバム作るのって相当プレッシャーに
なりそうですよね。軒並み高評価だし。
しかしいいアルバムですよね！",Laura Izibor,ゆるーくおしゃべり,歌手,,,,,2014/4/30 7:42
0417-0423,,,レオレオ,,LEOさんが似合いそうなアクセサリー,LEOさんってほんとにカッコイイ！彼が似合いそうなアクセサリーってなんだと思いますか！？,LEO,ゆるーくおしゃべり,歌手,,,,,2014/4/28 12:16
0417-0423,,,レオレオ,,Leon Wareの曲に合う人柄って？,Leon Wareの曲に合う人柄ってどんな人たちだと思いますか～？教えてください！,Leon Ware,ゆるーくおしゃべり,歌手,,,,,2014/4/29 0:07
0417-0423,,,レオレオ,,Lil Boosieが似合いそうな服装,Lil Boosieが似合いそうな服装ってどんな服装ですか！？ラッパー風以外の服装でお願いします！,Lil Boosie,ゆるーくおしゃべり,歌手,,,,,2014/4/29 15:42
0417-0423,,,レオレオ,,Lil' Flipの感動したPVってありますか？,Lil' Flipの感動したPVってありますか？youtubeで見た方とかおられましたらぜひ！,Lil' Flip,ゆるーくおしゃべり,歌手,,,,,2014/4/27 21:16
0417-0423,,,レオレオ,,Lil Jonが他のジャンルの曲を歌うとしたら？,Lil Jonが他のジャンルの曲を歌うとしたらどんなジャンルが似合うと思いますか！？,Lil Jon,ゆるーくおしゃべり,歌手,,,,,2014/4/29 8:59
0417-0423,,,レオレオ,,Lil Kimご本人についてどう思いますか！？,Lil Kimご本人についてどう思いますか！？すごくセクシーな写真が多いですよね！,Lil Kim,ゆるーくおしゃべり,歌手,,,,,2014/4/29 11:21
0417-0423,,,レオレオ,,Lil Wayneの似合う帽子の色って,Lil Wayneの似合う帽子の色ってどんな色だと皆さんは思いますかー！？,Lil Wayne,ゆるーくおしゃべり,歌手,,,,,2014/4/28 6:37
0417-0423,,,レオレオ,,Limp Bizkitのメンバーで好きな人,Limp Bizkitのメンバーで好きな人はいますか！？私はギターをしているマイク・スミスが好きです！,Limp Bizkit,ゆるーくおしゃべり,歌手,,,,,2014/4/29 19:56
0417-0423,,,レオレオ,,Lionel Richieの似合う格好って！？,Lionel Richieの似合う格好ってなんだと思いますかー！？スーツが多い感じがしますが！,Lionel Richie,ゆるーくおしゃべり,歌手,,,,,2014/4/28 22:06
0417-0423,,,レオレオ,,LL Cool Jが似合う帽子って！？,LL Cool Jが似合う帽子ってどんな帽子だと思いますか！？いつもゴルフしている人の帽子してますよね！？,LL Cool J,ゆるーくおしゃべり,歌手,,,,,2014/4/29 12:35
0417-0423,,,レオレオ,,Lloyd Banksのこれからについて,Lloyd Banksのこれからについてあなたはどう思いますかー！？ずっと作曲するのかな？,Lloyd Banks,ゆるーくおしゃべり,歌手,,,,,2014/4/28 5:47
0417-0423,,,レオレオ,,Lloyd Priceを聴いた方の思い出！,Lloyd Priceを聴いた方の思い出を教えてください！どんなことでも結構ですよー！,Lloyd Price,ゆるーくおしゃべり,歌手,,,,,2014/4/27 21:02
0417-0423,,,レオレオ,,LOCAL SOUND STYLEのメンバーで好きな人は！？,LOCAL SOUND STYLEのメンバーで好きな人は誰ですか～？？私は黒瀧さんですねー！,LOCAL SOUND STYLE,ゆるーくおしゃべり,歌手,,,,,2014/4/30 2:28
0417-0423,,,レオレオ,,LOW IQ 01ってすごくオシャレですよね！,LOW IQ 01ってすごくオシャレですよね！皆さんは彼にならったところってありますか？,LOW IQ 01,ゆるーくおしゃべり,歌手,,,,,2014/4/28 13:07
0417-0423,,,レオレオ,,Ludacrisが合う香水ってどんな香水？,Ludacrisが合う香水ってどんな香水だと思いますか？？なんかいつも良い匂いなイメージがあるのですが。,Ludacris,ゆるーくおしゃべり,歌手,,,,,2014/4/27 20:55
0417-0423,,,レオレオ,,LUNKHEADの好きなアルバムはなんですか？,LUNKHEADの好きなアルバムはなんですか？いろいろありますよねー！,LUNKHEAD,ゆるーくおしゃべり,歌手,,,,,2014/4/30 1:31
0417-0423,,,レオレオ,,Lupe Fiascoがかっこよく映るアングル,Lupe Fiascoがかっこよく映るアングルってどんなんだと思いますか！？,Lupe Fiasco,ゆるーくおしゃべり,歌手,,,,,2014/4/28 21:00
0417-0423,,,レオレオ,,Lordeのファンとしてしたいことって？,Lordeのファンとしてしたいことってなんですかー？？応援するならどんなことしますか？,Lorde,ゆるーくおしゃべり,歌手,,,,,2014/4/29 14:29
0417-0423,,,レオレオ,,Luke Bryanが似合う服装ってなんですか！？,Luke Bryanが似合う服装ってなんですか！？Ｔシャツ系の服が多いそうですが。,Luke Bryan,ゆるーくおしゃべり,歌手,,,,,2014/4/28 18:14
0417-0423,,,レオレオ,,LIVING COLOURのアルバムで気に入ったアルバムは！？,LIVING COLOURのアルバムで気に入ったアルバムはどれだと思いますかー！？,LIVING COLOUR,ゆるーくおしゃべり,歌手,,,,,2014/4/28 17:13
0417-0423,,,レオレオ,,LOCAL NATIVESの好きなメンバーは！？,LOCAL NATIVESの好きなメンバーは誰ですか？私はライアン・ハーンが大好きです！,LOCAL NATIVES,ゆるーくおしゃべり,歌手,,,,,2014/4/29 14:28
0417-0423,,,レオレオ,,LOS GUANCHESのかっこよかったyoutube,LOS GUANCHESのかっこよかったyoutube映像ってどれだと思いますか！？,LOS GUANCHES,ゆるーくおしゃべり,歌手,,,,,2014/4/27 23:30
0417-0423,,,レオレオ,,Mos Defが似合いそうなサングラスは！？,Mos Defが似合いそうなサングラスはどんなグラスだと思いますかー！？,Mos Def,ゆるーくおしゃべり,歌手,,,,,2014/4/29 16:32
0417-0423,,,レオレオ,,Motion City Soundtrackのメンバーで好きなメンバーは？,Motion City Soundtrackのメンバーで好きなメンバーは誰ですかー！？私はジョシュア・ケインです！,Motion City Soundtrack,ゆるーくおしゃべり,歌手,,,,,2014/4/30 1:34
0417-0423,,,レオレオ,,Motley Crueってプライベートはどんな？？,Motley Crueってプライベートはどんなことされていると思いますかー！？,Motley Crue,ゆるーくおしゃべり,歌手,,,,,2014/4/27 18:48
0417-0423,,,レオレオ,,Murderdollsの日常について,Murderdollsの日常ってどんな生活をされていると思います？？なんか面白そう..,Murderdolls,ゆるーくおしゃべり,歌手,,,,,2014/4/29 1:01
0417-0423,,,レオレオ,,Myeの一秒ごとの瞬間をっていう曲について,Myeの一秒ごとの瞬間をっていう曲についてなにか思い出とかありますかー！？,Mye,ゆるーくおしゃべり,歌手,,,,,2014/4/29 18:58
0417-0423,,,レオレオ,,MATZKAの今後の日本での活動は！？,MATZKAの今後の日本での活動はどうなると思いますかー！？もっと有名になるかな！？,MATZKA,ゆるーくおしゃべり,歌手,,,,,2014/4/28 4:10
0417-0423,,,レオレオ,,MY BLOODY VALENTINEのメンバーでカッコイイと思う人は！？,MY BLOODY VALENTINEのメンバーでカッコイイと思う人は誰だと思いますかー！？,MY BLOODY VALENTINE,ゆるーくおしゃべり,歌手,,,,,2014/4/29 12:42
0417-0423,,,レオレオ,,MODESELEKTORのジャンルを定義しよう！,MODESELEKTORのジャンルを定義しましょう！みんな定義できてしないそうなので。,MODESELEKTOR,ゆるーくおしゃべり,歌手,,,,,2014/4/28 0:07
0417-0423,,,レオレオ,,MAYA JANE COLESの似合いそうな髪型は！？,MAYA JANE COLESの似合いそうな髪型はどんな髪型だと思いますか！？,MAYA JANE COLES,ゆるーくおしゃべり,歌手,,,,,2014/4/30 7:58
0417-0423,,,レオレオ,,Mazzy Starがカラコンするとしたらなに色が良い？,Mazzy Starがカラコンするとしたらなに色が似合うと皆さんは思いますかー！？,Mazzy Star,ゆるーくおしゃべり,歌手,,,,,2014/4/27 22:07
0417-0423,,,レオレオ,,Michael Bubleのスーツ以外で似合う服装は！？,Michael Bubleのスーツ以外で似合う服装はどんな服装だとあなたは思いますか！？,Michael Buble,ゆるーくおしゃべり,歌手,,,,,2014/4/29 6:56
0417-0423,,,レオレオ,,Mad Lionの学生生活を想像してみよう！,Mad Lionの学生生活ってどんな生活をしていると思いますか！？想像してみましょう！,Mad Lion,ゆるーくおしゃべり,歌手,,,,,2014/4/28 16:01
0417-0423,,,レオレオ,,Mr. Vegasが似合いそうなグラスは！？,Mr. Vegasが似合いそうなグラスはどんなグラスだと皆さんは思いますかー！？,Mr. Vegas,ゆるーくおしゃべり,歌手,レゲエ,,,,2014/4/28 7:19
0417-0423,,,レオレオ,,Ms. Thingのカワイイと思うアングルは？,Ms. Thingのカワイイと思うアングルはどんなアングルだと皆さんは思いますか！？,Ms. Thing,ゆるーくおしゃべり,歌手,,,,,2014/4/30 9:34
0417-0423,,,レオレオ,,MAVADOの髪型を変えてみましょう！,MAVADOの髪型を変えてみましょう！どんな髪型にすればもっと似合うと思いますか！？,MAVADO,ゆるーくおしゃべり,歌手,レゲエ,,,,2014/4/28 14:00
0417-0423,,,レオレオ,,N.E.R.D.のメガネを変えるとしたら！？,N.E.R.D.のメガネを変えるとしたらどんなメガネが良いと思いますかー！？,N.E.R.D.,ゆるーくおしゃべり,歌手,,,,,2014/4/28 9:58
0417-0423,,,レオレオ,,PEPPERTONESの好きなPVはなんですか！？,PEPPERTONESの好きなPVはなんですか！？カッコイイと思うものを教えてー！,PEPPERTONES,ゆるーくおしゃべり,歌手,,,,,2014/4/30 4:04
0417-0423,,,レオレオ,,PORTER ROBINSONに手紙を書くとしたら！？,PORTER ROBINSONに手紙を書くとしたらどんなことをあなたは書きますか！？,PORTER ROBINSON,ゆるーくおしゃべり,歌手,,,,,2014/4/29 9:48
0417-0423,,,レオレオ,,PHUNK INVESTIGATIONの二人の服装を変えよう！,PHUNK INVESTIGATIONの二人の服装を変えてもっとオシャレにしてあげてください！,PHUNK INVESTIGATION,ゆるーくおしゃべり,歌手,,,,,2014/4/29 18:48
0417-0423,,,レオレオ,,PRISCILLA AHNが一番ステキに輝いていた,PRISCILLA AHNが一番ステキに輝いていたyoutubeの映像ってなんでしたか？？,PRISCILLA AHN,ゆるーくおしゃべり,歌手,,,,,2014/4/30 6:37
0417-0423,,,レオレオ,,Rage Against The Machineのメンバーであなたが思うカッコイイ人！,Rage Against The Machineのメンバーであなたが思うカッコイイ人って誰ですかー！？,Rage Against The Machine,ゆるーくおしゃべり,歌手,,,,,2014/4/30 9:20
0417-0423,,,レオレオ,,Raphael Saadiqのメガネを変えるとしたら！？,Raphael Saadiqのメガネを変えるとしたら！？どんなメガネが似合いはると思いますか！？,Raphael Saadiq,ゆるーくおしゃべり,歌手,,,,,2014/4/29 20:27
0417-0423,,,レオレオ,,Ray Charlesの感動したyoutube動画はなんでしたか～？,Ray Charlesのyoutube動画であなたにとって感動した映像はなんでしたか～？,Ray Charles,ゆるーくおしゃべり,歌手,,,,,2014/4/29 17:26
0417-0423,,,レオレオ,,Ray Foxxってどんな生活していると思いますか？,Ray Foxxってすごくなぞですよね！？彼らはどんな生活していると思いますか？,Ray Foxx,ゆるーくおしゃべり,歌手,,,,,2014/4/27 17:52
0417-0423,,,レオレオ,,RAZORS EDGEのサークルモッシュに参入した人！,RAZORS EDGEのサークルモッシュに参入した人！やり終わったあとってやっぱり達成感ありますか！？,RAZORS EDGE,ゆるーくおしゃべり,歌手,,,,,2014/4/29 15:43
0417-0423,,,レオレオ,,RICHEEが違う服装を着るとしたら！？,RICHEEが違う服装を着るとしたどんな服装が似合うと思いますかー！？,RICHEE,ゆるーくおしゃべり,歌手,,,,,2014/4/29 8:04
0417-0423,,,レオレオ,,Rick Jamesのプライベートってどんなん！？,Rick Jamesのプライベートってどんなんだと思いますか？毎日楽しんでおられるかな～？？,Rick James,ゆるーくおしゃべり,歌手,,,,,2014/4/29 9:46
0417-0423,,,レオレオ,,Rick Rossのヒゲについてどう思いますか！？,Rick Rossのヒゲについてどう思いますか！？あった方が良い？ない方が良い～！？,Rick Ross,ゆるーくおしゃべり,歌手,,,,,2014/4/29 5:06
0417-0423,,,レオレオ,,Rickie-Gの歌声で変わった生活,Rickie-Gの歌声で生活が変わった方おられますか！？私はいつも慰められてばかりいます！,Rickie-G,ゆるーくおしゃべり,歌手,レゲエ,,,,2014/4/28 11:07
0417-0423,,,レオレオ,,RIDDIM HUNTERのカッコイイと思う画像は？,RIDDIM HUNTERのカッコイイと思う画像はなんですかー！？特徴的な画像が多いですよね！,RIDDIM HUNTER,ゆるーくおしゃべり,歌手,,,,,2014/4/29 7:14
0417-0423,,,レオレオ,,Rita Oraの髪型を変えるとしたらどんな髪型が良い！？,Rita Oraの髪型を変えるとしたらどんな髪型が似合うと思いますか～！？,Rita Ora,ゆるーくおしゃべり,歌手,,,,,2014/4/28 11:49
0417-0423,,,レオレオ,,Stone Sourはそれぞれ仲が良いと思いますか～？,Stone Sourはそれぞれ仲が良いと思いますか～？でもなんかいつも一緒にいてそうな。。,Stone Sour,ゆるーくおしゃべり,歌手,,,,,2014/4/29 11:25
0417-0423,,,レオレオ,,Strapping Young Ladが活動再開したら,Strapping Young Ladがもし活動再開したら皆さんはどう思いますかー！？心境を教えて！,Strapping Young Lad,ゆるーくおしゃべり,歌手,,,,,2014/4/28 7:29
0417-0423,,,レオレオ,,Swedish House MafiaのTシャツはどうしてますか！？,Swedish House MafiaのTシャツは皆さんどうしてますか！？部屋に飾っている？,Swedish House Mafia,ゆるーくおしゃべり,歌手,,,,,2014/4/27 23:29
0417-0423,,,レオレオ,,Sly & The Family Stoneって皆さんどう思いますか？,Sly & The Family Stoneって皆さんどう思いますか？不思議なグループですよね！？,Sly & The Family Stone,ゆるーくおしゃべり,歌手,レゲエ,,,,2014/4/30 9:12
0417-0423,,,レオレオ,,STEREOPHONICSを聴いて生活が変わった方！,STEREOPHONICSを聴いて生活が変わった方っておられますか？？,STEREOPHONICS,ゆるーくおしゃべり,歌手,,,,,2014/4/30 4:53
0417-0423,,,レオレオ,,SO.ON Projectの良かったと思うアルバムはなんですか？,SO.ON Projectの良かったと思うアルバムはなんですか？私は５作目が良かったですね！,SO.ON Project,ゆるーくおしゃべり,歌手,,,,,2014/4/29 16:33
0417-0423,,,レオレオ,,SELAH SUEの部屋ってどんな部屋だと思いますか？,SELAH SUEの部屋ってどんな部屋だと思いますか？？キレイな部屋しているのかな？,SELAH SUE,ゆるーくおしゃべり,歌手,,,,,2014/4/30 9:05
0417-0423,,,レオレオ,,SPARKSを聴いたときの思い出を教えてー！,SPARKSを聴いたときの思い出を教えてくださいー！なんか心境変わったこととかありますか？,SPARKS,ゆるーくおしゃべり,歌手,,,,,2014/4/27 21:35
0417-0423,,,レオレオ,,Stumble Bumのカッコイイ！と思ったＰＶは？,Stumble Bumのカッコイイ！と思ったＰＶはどれでしたかー！？あなたにとってコレ！というものを語りましょう！,Stumble Bum,ゆるーくおしゃべり,歌手,,,,,2014/4/29 2:18
0417-0423,,,レオレオ,,TOM ODELLさんの顔が…,TOM ODELLさんの顔がとても好みなのですが、皆さんはどうおもいますか？,TOM ODELL,ゆるーくおしゃべり,歌手,,,,,2014/4/29 13:25
0417-0423,,,レオレオ,,Takujiさんって様々な…,Takujiさんって様々なジャンルの芸術家ですよね。最近は民族や部族の音楽されてて、多彩な人って魅力がありますよね。,Takuji,ゆるーくおしゃべり,歌手,,,,,2014/4/27 21:19
0417-0423,,,レオレオ,,THE GASLAMP KILLERって,THE GASLAMP KILLERって謎に包まれていますよね。謎に包まれている系男性って素敵じゃないですか？,THE GASLAMP KILLER,ゆるーくおしゃべり,歌手,,,,,2014/4/28 11:35
0417-0423,,,レオレオ,,TAME IMPALAさんのホームページ,TAME IMPALAさんのホームページを見たのですが、とってもオシャレだと思いました！どう思いましたか？,TAME IMPALA,ゆるーくおしゃべり,歌手,,,,,2014/4/29 12:31
0417-0423,,,レオレオ,,THE SMASHING PUMPKINSのデビューアルバム,THE SMASHING PUMPKINSのデビューアルバムってちょうどNirvanaのアルバムと出した時期がかぶったそうですが、そういうのってやっぱり運なのでしょうか？,THE SMASHING PUMPKINS,ゆるーくおしゃべり,歌手,,,,,2014/4/28 0:11
0417-0423,,,レオレオ,,TOMMY EMMANUELさんって,TOMMY EMMANUELさんってフィンガーピッキングの達人と言われていますが、トミーさんの曲で簡単なのはあるものなのでしょうか？,TOMMY EMMANUEL,ゆるーくおしゃべり,歌手,,,,,2014/4/28 19:07
0417-0423,,,レオレオ,,Twistaさんはギネス保持者,Twistaさんって世界最速の早口としてギネスに載っているそうですが、あれはどうやっているんでしょうね？,Twista,ゆるーくおしゃべり,歌手,,,,,2014/4/28 20:16
0417-0423,,,レオレオ,,Totally Dedicatedってレア？,Totally Dedicatedってかなり価値のあるグループだそうですね。彼らが出したCDがとてもレアだとか？,Totally Dedicated,ゆるーくおしゃべり,歌手,,,,,2014/4/28 18:22
0417-0423,,,レオレオ,,The Strypesは大物に絶賛されている,The Strypesさんって大物の方に絶賛されていますよね！一人一人の音楽性のレベルがかなり高いと思いますね。,The Strypes,ゆるーくおしゃべり,歌手,,,,,2014/4/27 22:17
